scenario,N,k,algorithm,algorithm_type,epsilon,m_value,strategy,recovery_pct,p1_winner_score,p1_2nd_score,p1_true_winner_score,p1_diff,p2_diff,parwis_recovery,beats_parwis
N400_k30,400,30,"Gen-Prob E-Greedy (m=300, e=0.1)",Gen-Prob E-Greedy,0.1,300.0,Gen-Prob,80.25,3.1732,2.6186,2.6674,0.5546232999219298,0.6335857507735194,80.0,True
N400_k40,400,40,"Gen-Prob E-Greedy (m=300, e=0.2)",Gen-Prob E-Greedy,0.2,300.0,Gen-Prob,78.0,2.9081,2.5046,2.3445,0.4035052763125319,0.3348080462648033,77.75,True
N400_k40,400,40,"Gen-Prob E-Greedy (m=300, e=0.4)",Gen-Prob E-Greedy,0.4,300.0,Gen-Prob,78.0,2.9081,2.5046,2.3445,0.4035052763125319,0.2994172278347613,77.75,True
N400_k50,400,50,"Gen-Prob E-Greedy (m=200, e=0.1)",Gen-Prob E-Greedy,0.1,200.0,Gen-Prob,62.5,2.5787,2.3048,1.7442,0.2738442487922095,0.219025770073844,62.0,True
N400_k50,400,50,"Gen-Prob E-Greedy (m=300, e=0.2)",Gen-Prob E-Greedy,0.2,300.0,Gen-Prob,62.5,2.5269,2.2691,1.7225,0.2577800976023132,0.1895200343894156,62.0,True
N400_k60,400,60,"Gen-Prob E-Greedy (m=200, e=0.0)",Gen-Prob E-Greedy,0.0,200.0,Gen-Prob,49.0,2.3253,2.1703,1.3898,0.1550086661973502,0.1550086661973502,49.0,False
N400_k70,400,70,"Gen-Prob E-Greedy (m=200, e=1.0)",Gen-Prob E-Greedy,1.0,200.0,Gen-Prob,29.25,2.3279,2.1644,1.1966,0.1634615215976937,0.1386324463681001,27.5,True
N400_k80,400,80,"Gen-Prob E-Greedy (m=200, e=0.6)",Gen-Prob E-Greedy,0.6,200.0,Gen-Prob,15.25,2.2503,2.1133,0.9217,0.1369260420601881,0.1267830290944704,14.75,True
N400_k90,400,90,"Gen-Prob E-Greedy (m=300, e=0.4)",Gen-Prob E-Greedy,0.4,300.0,Gen-Prob,8.25,2.2134,2.0796,0.7845,0.1338077342198591,0.1325223107219426,7.5,True
N400_k93,400,93,"Gen-Prob E-Greedy (m=200, e=0.0)",Gen-Prob E-Greedy,0.0,200.0,Gen-Prob,6.0,2.2095,2.0714,0.749,0.1381112469234766,0.1381112469234766,6.0,False
N400_k95,400,95,"Gen-Prob E-Greedy (m=300, e=0.1)",Gen-Prob E-Greedy,0.1,300.0,Gen-Prob,4.5,2.2045,2.073,0.7209,0.1314262037461682,0.1336745928244962,4.0,True
N400_k97,400,97,"Gen-Prob E-Greedy (m=200, e=0.2)",Gen-Prob E-Greedy,0.2,200.0,Gen-Prob,4.25,2.2226,2.0911,0.6757,0.1314881996799823,0.1358291750787392,3.0,True
N500_k10,500,10,"Gen-Prob E-Greedy (m=250, e=0.1)",Gen-Prob E-Greedy,0.1,250.0,Gen-Prob,94.0,4.5355,3.4562,4.3564,1.0792751589145468,1.5755054022513837,93.75,True
N500_k10,500,10,"Gen-Prob E-Greedy (m=250, e=0.6)",Gen-Prob E-Greedy,0.6,250.0,Gen-Prob,94.0,4.5355,3.4562,4.3564,1.0792751589145468,1.423173276371545,93.75,True
N500_k20,500,20,"Gen-Prob E-Greedy (m=250, e=0.1)",Gen-Prob E-Greedy,0.1,250.0,Gen-Prob,89.25,3.7416,3.0145,3.4373,0.7270909627203577,0.9978789982074784,89.0,True
N500_k20,500,20,"Gen-Prob E-Greedy (m=250, e=0.6)",Gen-Prob E-Greedy,0.6,250.0,Gen-Prob,89.25,3.7416,3.0145,3.4373,0.7270909627203577,0.7389793616914506,89.0,True
N500_k20,500,20,"Gen-Prob E-Greedy (m=250, e=0.4)",Gen-Prob E-Greedy,0.4,250.0,Gen-Prob,89.25,3.7416,3.0145,3.4373,0.7270909627203577,0.7833166740004165,89.0,True
N500_k20,500,20,"Gen-Prob E-Greedy (m=250, e=0.8)",Gen-Prob E-Greedy,0.8,250.0,Gen-Prob,89.25,3.7416,3.0145,3.4373,0.7270909627203577,0.7865149236091002,89.0,True
N500_k20,500,20,"Gen-Prob E-Greedy (m=250, e=1.0)",Gen-Prob E-Greedy,1.0,250.0,Gen-Prob,89.25,3.7416,3.0145,3.4373,0.7270909627203577,0.8005356115793556,89.0,True
N500_k30,500,30,"Gen-Prob E-Greedy (m=250, e=0.4)",Gen-Prob E-Greedy,0.4,250.0,Gen-Prob,78.25,3.1444,2.6396,2.6076,0.5047247348566901,0.4533881081623128,78.0,True
N500_k40,500,40,"Gen-Prob E-Greedy (m=250, e=0.2)",Gen-Prob E-Greedy,0.2,250.0,Gen-Prob,68.5,2.8517,2.4824,2.0283,0.3693631983874654,0.3146792496948176,67.0,True
